name,latitude,longitude,risk_status,distance_km,nearest_conflict_type,nearest_conflict_date,osm_id
Ecole Primaire EDAC,0.1468129,29.2836551,safe,202.14,Battle,2024-01-01,6373578665
EP GRACIA DAY,0.1515283,29.2810783,safe,202.66,Battle,2024-01-01,6373578666
Ecole Primaire Jou/Furu,0.1554446,29.2901045,safe,203.13,Battle,2024-01-01,6373578667
Ecole Primaire Kitatumba,0.146887,29.2813537,safe,202.14,Battle,2024-01-01,6373578668
École Primaire Mahuzuriyo,0.1109811,29.2870753,safe,198.18,Battle,2024-01-01,6373578669
Ecole Primaire Pumziko,0.1576983,29.2871267,safe,203.37,Battle,2024-01-01,6373578670
Institut EDAC,0.1471042,29.2837135,safe,202.18,Battle,2024-01-01,6373578671
Institut Lingombe,0.1528617,29.2898162,safe,202.84,Battle,2024-01-01,6373578672
Institut Moyo Safi,0.1469583,29.2809633,safe,202.15,Battle,2024-01-01,6373578673
Institut Shangilieni,0.1112486,29.2869635,safe,198.21,Battle,2024-01-01,6373578674
Institut malera,0.1323659,29.3234195,safe,200.74,Battle,2024-01-01,6374000380
École Ku Ntwala,-4.4073292,15.2526913,safe,11.6,Strategic development,2024-01-03,6414467085
École La Fontaine,-4.4033062,15.2539881,safe,11.15,Strategic development,2024-01-03,6415551391
Institut BONDOYI,-7.008868,23.4433011,safe,781.11,Violence against civilians,2024-01-02,6426096527
Ecole Primaire KATOKA,-7.009747,23.4425699,safe,781.23,Violence against civilians,2024-01-02,6426101835
Institut BUAKANA,-7.0108069,23.4440935,safe,781.18,Violence against civilians,2024-01-02,6426152610
Grand et Petit Lycée Notre Dame de la Jeunesse,-7.0104662,23.4451771,safe,781.06,Violence against civilians,2024-01-02,6426159758
Ecole Primaire MISHONYI,-7.007426,23.4412182,safe,781.18,Violence against civilians,2024-01-02,6426184897
Ecole Primaire Jardin d'Eden,-7.0049201,23.4424779,safe,780.9,Violence against civilians,2024-01-02,6426254554
ITM TULIZENI,0.0091333,29.4003317,safe,187.78,Battle,2024-01-01,6435423096
ITAVE KYONDO,0.001549,29.4034911,safe,186.98,Battle,2024-01-01,6435423097
Institut Vurursi,-0.0788077,29.4490826,safe,178.76,Battle,2024-01-01,6435423098
Institut Vukembe,-0.0143533,29.4243872,safe,185.5,Battle,2024-01-01,6435423099
Institut Vayana,-0.0188983,29.408525,safe,184.79,Battle,2024-01-01,6435423100
Institut Talia,0.00979,29.3986833,safe,187.84,Battle,2024-01-01,6435423101
INSTITUT KYONDO KASISI,-0.057515,29.4403317,safe,180.97,Battle,2024-01-01,6435423102
INSTITUT KAVANDA,-0.0112533,29.4031067,safe,185.56,Battle,2024-01-01,6435423103
Institut Buswagha,-0.0371724,29.4341762,safe,183.12,Battle,2024-01-01,6435423104
Intitut St Joseph,-0.0299972,29.4416873,safe,184.02,Battle,2024-01-01,6435423105
École primaire Vuhira,-0.001465,29.4006,safe,186.62,Battle,2024-01-01,6435423106
ECOLE PRIMAIRE VAYANA,-0.0156833,29.4192233,safe,185.28,Battle,2024-01-01,6435423108
École primaire Tuvuke,-0.0794767,29.4546,safe,178.77,Battle,2024-01-01,6435423109
ECOLE PRIMAIRE SERESE,-0.026715,29.4420267,safe,184.38,Battle,2024-01-01,6435423110
École Primaire Ngwangwalu,-0.0117033,29.4034767,safe,185.52,Battle,2024-01-01,6435423111
École primaire Muvugha,-0.0288617,29.43792,safe,184.09,Battle,2024-01-01,6435423112
ECOLE PRIMAIRE MUKOGHO,-0.0210133,29.4538567,safe,185.19,Battle,2024-01-01,6435423113
