osm_id,latitude,longitude,addr:city,addr:country,addr:district,addr:housenumber,addr:postcode,addr:province,addr:street,addr:subdistrict,addr:suburb,alt_name,amenity,attribution,barrier,building,check_date,comment,conflict_date,conflict_type,contact:email,contact:facebook,date,denomination,description,education,fixme,grades,is_in:admin_level7,is_in:admin_level8,isced:level,min_age,name,name:en,name:fr,nearest_conflict_dist_km,note,old_name,opening_hours,operator,operator:type,osm_id,osm_type,phone,religion,school:CD,school:gender,short_name,source,source:date,source:name,source_ref,surface,survey:date,type,website,wheelchair,wikidata,wikimedia_commons,wikipedia
5292873865,-4.3387782,15.3068304,Kinshasa,,,,,,Avenue de la Victoire,,,,school,,,,2023-05-13,,2024-01-03,Strategic development,,,,,,,,,,,,,G.S. Mama Zoya,,,2.12,,,,,,5292873865,node,,,,,,,,,,,,,,yes,,,
5407026099,-4.352285,15.2853794,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,C.S. Kiese,,,4.51,,,,,,5407026099,node,,,,,,,,,,,,,,,,,
5410208647,-4.3085395,15.2867889,Kinshasa,CD,,,,,,Gombe,,,school,,,,2023-05-13,,2024-01-03,Strategic development,,,,,,,,,,,,,École Maternelle Boboto,,École Maternelle Boboto,2.87,,,,,,5410208647,node,,,,,,,,,,,,,,yes,,,
5410208648,-4.3084271,15.2871966,Kinshasa,CD,,,,,,Gombe,,,school,,,school,2023-05-13,,2024-01-03,Strategic development,,,,,,,,,,,,,C.S. Manyanga,,,2.84,,,,,,5410208648,node,,,,,,,,,,,,,,yes,,,
5416312771,-4.3526337,15.2834166,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,Univers scolaire,,,4.67,,,,,,5416312771,node,,,,,,,,,,,,,,,,,
5416315445,-4.3532918,15.2835511,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,C.S. Baraka,,,4.72,,,,,,5416315445,node,,,,,,,,,,,,,,,,,
5499321327,-4.3407654,15.2990976,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,Ecole La Main Ouverte,,,2.61,,,,,,5499321327,node,,,,,,,,,,,,,,yes,,,
5499321332,-4.3438999,15.297837,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,Institut Charles Kisolokele,,,2.98,,,,Eglise Kimbanguiste,,5499321332,node,,,,,,,,,,,,,,yes,,,
5499321338,-4.3458978,15.2868506,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,Collège Mixte de Bandalungua,,,3.86,,,,,,5499321338,node,,,,,,,,,,,,,,yes,,,
5499358550,-4.3168682,15.2912924,,,,,,,,,,,school,,,,2023-05-08,,2024-01-03,Strategic development,,,,,,,,,,,,,CS Clessidra,,,2.1,,,,,,5499358550,node,,,,,,,,,,,,,,,,,
5499358552,-4.3173871,15.2899727,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,Ecole Eureka,,,2.24,,,,,,5499358552,node,,,,,,,,,,,,,,yes,,,
5499358554,-4.3179514,15.2872369,Kinshasa,,,,,,Avenue de la Gombe,Gombe,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,Ecole Bilingue Les Petits Dauphins,,,2.53,,,,,,5499358554,node,,,,,,,,,,,,,,yes,,,
